,blocknumber,exchangerate
0,13716191,0.9975678796310655
1,13716213,0.9975678796310655
2,13716213,0.9975678796310655
3,13716217,0.9975678796310655
4,13716217,0.9975678796310655
5,13716226,0.9975678796310655
6,13716229,0.9975678796310655
7,13716229,0.9975678796310655
8,13716232,0.9975678796310655
9,13716233,0.9975678796310655
10,13716233,0.9975678796310655
11,13716235,0.9975678796310655
12,13716235,0.9975678796310655
13,13716235,0.9975678796310655
14,13716235,0.9975678796310655
15,13716235,0.9975678796310655
16,13716238,0.9975678796310655
17,13716240,0.9975678796310655
18,13716244,0.9975678796310655
19,13716244,0.9975678796310655
20,13716246,0.9975678796310655
21,13716246,0.9975678796310655
22,13716247,0.9975678796310655
23,13716248,0.9975678796310655
24,13716249,0.9975678796310655
25,13716251,0.9975678796310655
26,13716251,0.9975678796310655
27,13716253,0.9975678796310655
28,13716254,0.9975678796310655
29,13716256,0.9975678796310655
30,13716256,0.9975678796310655
31,13716258,0.9975678796310655
32,13716258,0.9975678796310655
33,13716260,0.9975678796310655
34,13716260,0.9975678796310655
35,13716261,0.9975678796310655
36,13716264,0.9975678796310655
37,13716264,0.9975678796310655
38,13716265,0.9975678796310655
39,13716266,0.9975678796310655
40,13716267,0.9975678796310655
41,13716274,0.9975678796310655
42,13716274,0.9975678796310655
43,13716275,0.9975678796310655
44,13716278,0.9975678796310655
45,13716279,0.9975678796310655
46,13716283,0.9975678796310655
47,13716287,0.9975678796310655
48,13716287,0.9975678796310655
49,13716288,0.9975678796310655
50,13716289,0.9975678796310655
51,13716289,0.9975678796310655
52,13716289,0.9975678796310655
53,13716289,0.9975678796310655
54,13716291,0.9975678796310655
55,13716293,0.9975678796310655
56,13716293,0.9975678796310655
57,13716293,0.9975678796310655
58,13716294,0.9975678796310655
59,13716294,0.9975678796310655
60,13716294,0.9975678796310655
61,13716297,0.9975678796310655
62,13716297,0.9975678796310655
63,13716297,0.9975678796310655
64,13716298,0.9975678796310655
65,13716302,0.9975678796310655
66,13716302,0.9975678796310655
67,13716302,0.9975678796310655
68,13716303,0.9975678796310655
69,13716304,0.9975678796310655
70,13716305,0.9975678796310655
71,13716305,0.9975678796310655
72,13716305,0.9975678796310655
73,13716311,0.9975678796310655
74,13716313,0.9975678796310655
75,13716314,0.9975678796310655
76,13716316,0.9975678796310655
77,13716317,0.9975678796310655
78,13716318,0.9975678796310655
79,13716318,0.9975678796310655
80,13716320,0.9975678796310655
81,13716321,0.9975678796310655
82,13716321,0.9975678796310655
83,13716323,0.9975678796310655
84,13716323,0.9975678796310655
85,13716324,0.9975678796310655
86,13716324,0.9975678796310655
87,13716324,0.9975678796310655
88,13716327,0.9975678796310655
89,13716327,0.9975678796310655
90,13716327,0.9975678796310655
91,13716327,0.9975678796310655
92,13716329,0.9975678796310655
93,13716329,0.9975678796310655
94,13716329,0.9975678796310655
95,13716330,0.9975678796310655
96,13716333,0.9975678796310655
97,13716334,0.9975678796310655
98,13716334,0.9975678796310655
99,13716335,0.9975678796310655
100,13716337,0.9975678796310655
101,13716339,0.9975678796310655
102,13716340,0.9975678796310655
103,13716340,0.9975678796310655
104,13716341,0.9975678796310655
105,13716346,0.9975678796310655
106,13716355,0.9975678796310655
107,13716356,0.9975678796310655
108,13716356,0.9975678796310655
109,13716359,0.9975678796310655
110,13716363,0.9975678796310655
111,13716367,0.9975678796310655
112,13716371,0.9975678796310655
113,13716371,0.9975678796310655
114,13716371,0.9975678796310655
115,13716373,0.9975678796310655
116,13716373,0.9975678796310655
117,13716373,0.9975678796310655
118,13716373,0.9975678796310655
119,13716377,0.9975678796310655
120,13716381,0.9975678796310655
121,13716381,0.9975678796310655
122,13716381,0.9975678796310655
123,13716386,0.9975678796310655
124,13716388,0.9975678796310655
125,13716392,0.9975678796310655
126,13716394,0.9975678796310655
127,13716400,0.9975678796310655
128,13716403,0.9975678796310655
129,13716404,0.9975678796310655
130,13716407,0.9975678796310655
131,13716408,0.9975678796310655
132,13716409,0.9975678796310655
133,13716409,0.9975678796310655
134,13716414,0.9975678796310655
135,13716418,0.9975678796310655
136,13716421,0.9975678796310655
137,13716428,0.9975678796310655
138,13716434,0.9975678796310655
139,13716434,0.9975678796310655
140,13716435,0.9975678796310655
141,13716436,0.9975678796310655
142,13716436,0.9975678796310655
143,13716436,0.9975678796310655
144,13716437,0.9975678796310655
145,13716437,0.9975678796310655
146,13716438,0.9975678796310655
147,13716438,0.9975678796310655
148,13716445,0.9975678796310655
149,13716445,0.9975678796310655
150,13716446,0.9975678796310655
151,13716448,0.9975678796310655
152,13716453,0.9975678796310655
153,13716454,0.9975678796310655
154,13716454,0.9975678796310655
155,13716459,0.9975678796310655
156,13716460,0.9975678796310655
157,13716467,0.9975678796310655
158,13716470,0.9975678796310655
159,13716479,0.9975678796310655
160,13716479,0.9975678796310655
161,13716483,0.9975678796310655
162,13716484,0.9975678796310655
163,13716484,0.9975678796310655
164,13716491,0.9975678796310655
165,13716494,0.9975678796310655
166,13716494,0.9975678796310655
167,13716500,0.9975678796310655
168,13716505,0.9975678796310655
169,13716509,0.9975678796310655
170,13716509,0.9975678796310655
171,13716509,0.9975678796310655
172,13716509,0.9975678796310655
173,13716525,0.9975678796310655
174,13716527,0.9975678796310655
175,13716538,0.9975678796310655
176,13716540,0.9975678796310655
177,13716544,0.9975678796310655
178,13716548,0.9975678796310655
179,13716550,0.9975678796310655
180,13716550,0.9975678796310655
181,13716553,0.9975678796310655
182,13716560,0.9975678796310655
183,13716565,0.9975678796310655
184,13716568,0.9975678796310655
