"HolderAddress","Balance","PendingBalanceUpdate"
"0xf5bce5077908a1b7370b9ae04adc565ebd643966","654950300.113957","No"
"0x5a6a4d54456819380173272a5e8e9b9904bdf41b","1444730573.93685","No"
"0xb7638f0040f116668201fb822446c1857035a9a2","0.695142949027586","No"
"0x4006164e79f13ff1390770119145bbe36c7b499b","6.35453473679618","No"
"0xb1b4fc64f3b9657fd7e1a4fe39801ab0de134de9","47.814700849928","No"
"0xaed0577301dfb0df8dad5ebb65c3895d59708c3f","0.447118553895704","No"
"0xc61a2bb414a41ce492a94b5f59f5fd72f3a71c97","1.5637068602E-08","No"
"0x228b91c629b1495e00a23140f7b72c10cfcbd074","0.051969","No"
"0xf4b5528ce0764b8b09b60b91b746f6a48459b400","1.13230621971678","No"
"0x33482ad919a79b7f17ac1371a4afa83a179005a0","0.99680862486306","No"
"0x9176d605e0bcf8e9a0b0d8587c96c34b5b5ed7ec","1","No"
"0xd3fd32e76a1ca37ec408aac47776b10fc099f841","1.72036658967969","No"
"0xb30452beca9c462bc6773582c9e0d70cc60e7321","5.41555091955953","No"
"0xb1696b8e715fe855d0df78ce75b36d5290b33d77","0.0495489801225005","No"
"0xd0c3f3acab5f3dbc6961ca418d9a0ff0bb7f687c","3.98979142368E-07","No"
"0x66e9e8a51a66a264a224e18d468a575f36b53064","0.514680905076168","No"
"0x736935e6bd6cfeb633d01958d612abe37df0fa2a","153.688577589452","No"
"0xf83b157248e0f01891a603e73bbbd680963ac7f2","8.17960558115121","No"
"0x4db09171350be4f317a67223825abecc65482e32","96.544397648377","No"
"0x60c4ae0ee854a20ea7796a9678090767679b30fc","80.13285","No"
"0x13d45b450c86fc1beac9d0cb7d3cdf135f22a1e5","3.07958416169E-07","No"
"0x27e61608233ab9cda37f8a19346b6f84668d11cc","15.0041121632779","No"
"0x7929b3d66c5c79c99aa346a59927b56b592e3d6e","22.4422975465949","No"
"0x8275342a8b6101ba6dbfc15c4f2a15604c219e16","9.5002833281571","No"
"0x6b2905c1aec77b5687913db4b6d1eadf9cf970b3","10.0634135342423","No"
"0x10ae40d5103afb2f4148a680e755efdb6e442e66","64.970795857456","No"
"0x6c02739a0833186078c7c9055074f9ebff9ad8a1","7.62518878162E-07","No"
"0x183b6267cb9f985a8aa7fc912672a21d644a4102","0.993767652838584","No"
"0xcaf2d3f6c4a375ccec74eb7ed5c03f5b6cd8876e","3.19618360387503","No"
"0x8d216b875b5a1355e5938cdef73b503231a81c6f","0.817887634747709","No"
"0x57e1046aa0871dcd446edf903ed6ff4e9891e398","143.270968790382","No"
"0x6699dcfe295244bfbd3e466cf9da71ccf265377e","69.210662","No"
"0xbca9068a19c9dc7d937833ba3890c4acad54eaf5","4.46381988902805","No"
"0x1dbdb0fd326ac5de423467b88d07ccfe666670e0","18.5858338375026","No"
"0x1574472d2fc12905b73f7269352ca4aefd88eddf","0.740236483651801","No"
"0x919eb8b9ee1903d22cf20a6db92c1b3b8983f20e","1067.95300450935","No"
"0x0773a0e14f8b37caa9e94040f4db810c3a2a45f5","0.00058828204620119","No"
"0x088873f2bf4490e7676536c261d96f47c78df56b","270.125577559908","No"
"0xa61d14017057983f6f3b2101b15b48300c961c01","39.679141765193","No"
"0xccb8ece2c1378af4221a5c9e8ad97cc258a804a2","8.2889136271714","No"
"0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca","0.00246113070401212","No"
"0x284dd2384dd258d9c40808d87b1a79f859918566","0.490246922030008","No"
"0xc0ffee22f360792a89db39f159f103daafe9c57d","118.726093502831","No"
"0xafec6dc9c015cd7325497be2f5eb1a0c7016b9da","2.53947784499E-07","No"
"0x742b6de8cb16327b68c83e1d6433174db89fd2e0","1214.603348","No"
"0xabcf3560a76ac084f7a7ccc835f62a0179510ac0","9.23972911537273","No"
"0x07d5695a24904cc1b6e3bd57cc7780b90618e3c4","2308810.6048574","No"
"0xf34cadb94e038cdacb4de4bb4263eec83ee17f5b","4.385E-15","No"
"0x298b7c5e0770d151e4c5cf6cca4dae3a3ffc8e27","1192994.77749521","No"
"0x0716266cc5d3c443e30b0c4e9c72afa33778e1de","0.00362785459230655","No"
"0xcc98cfdc5f5480d8dd0a0d0a7f80506eb30d5159","7.6114744605E-08","No"
"0x7daf162a40d35b3eb64d2a78f1f945242c904086","0.289574040497078","No"
"0x426b3affbbe924e01575d5b3cb9dc640625bbb49","0.916335","No"
"0x17d8776310c549fd7c40385052d0b58aac789fc9","5.03734266194135","No"
"0x4c026d5d6a7fe1b2e2b28b916ef2016f6058f7b4","6.11342127802E-07","No"
"0x2dd2d6440d36259632920ea17741aff5972c8a9d","0.00752244207793296","No"
"0xafab37e854e2edb2aa9e2830c6bfcd3eef5c4c32","43.0322279147318","No"
"0x27ca52818a435fd3a949fbb4ce7aacb8ce19d4d6","0.692437792089227","No"
"0x4fd71c1619ccaa1ad664575b61963cf86f58f550","3.69089978964E-07","No"
"0x20191b4ffb44ec768d8d1609e3a46b982eef5090","0.948653081861889","No"
"0x5b82d74307d75fde3a5da2cdfeb60ed60430f2a8","1.57054245414437","No"
"0xd9b49a81ee72af3c026a2c144c9ffd678a78c8b1","0.997159833524291","No"
"0x2fe59a3d4379a127adb934bcb9fcccf2c770eb97","0.019087","No"
"0x3e0aef6b7205dc7a97f6fbd77a7cf9363fe10143","0.0186883459531339","No"
"0x4188663a85c92eea35b5ad3aa5ca7ceb237c6fe9","69.6437589950337","No"
"0xfa9da51631268a30ec3ddd1ccbf46c65fad99251","288","No"
"0xc03033d8b833ff7ca08bf2a58c9bc9d711257249","79","No"
"0x43093861e897d139342ce149935a5f721532a660","110","No"
"0x0e0bf22e3595687a8756e1e9862a20944d0be57e","157.983657702142","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.906966434370072","No"
"0x0478faec5bb44c02c3be28181de4d565ab139bbc","7.97849210584117","No"
"0xaaa3f05f25eed87ee3a268f4582ec914e6245577","0.00513679538057208","No"
"0x89abcd47da1adcc90aa02b775c5d720cb3b88ca5","0.00799543140460206","No"
"0x28e2062c83d9ae604b18a7ff2b29418682e820a5","0.202676060339969","No"
"0xda918c71780b2ae1b8d4c0546b1aab0cadc21e4b","5.71393326102E-07","No"
"0x635f2f87f87d1c498efe8970b9bab47a723d73ca","9.25982288934E-07","No"
"0xc02bfc8c96477d82ae78d3212b802c4bfc820f90","1.59426872202E-07","No"
"0x87eaf3d9e59b50a237ae7c8f58c21fe68d4065a4","0.0012411205862272","No"
"0xbca427e4fb0a8bef1fc324f9bbff8574d3beb90c","28.9967122694594","No"
"0x93c329189b3f6fef306b98ee88dd0aa5ec1ec15e","5.84059047737E-07","No"
"0x03fcde3dd5fe009bbae42e9bfa0ec85526a906ae","9.51344946220471","No"
"0x9687d62c9e387b85f89f4a244fa92eda1582575d","2.05127049778E-07","No"
"0x9307547d686b2909b4c4eb932777a2d5615dece0","0.00470301814990336","No"
