,blocknumber,MIM,USDC,direction,MIM_to_USDC
0,12646310,36703.35530249651,36626.395568,-1,1.002101209614078
1,12646335,18139.122321786403,18060.537123,-1,1.004351210501172
2,12647540,17.868771146290786,17.795979,1,1.0040903704309152
3,12647549,177.55363400000002,176.652393,-1,1.0051017763455943
4,12677086,174.67374580096612,173.718097,-1,1.0055011470737336
5,12677873,182.69815575967732,181.527,-1,1.0064516890582522
6,12678558,24.9379954314046,24.792555999999998,1,1.0058662540241758
7,12679388,700.0,693.979518,-1,1.0086753021434272
8,12679677,23460.94255201194,23382.77714,1,1.0033428626353467
9,12680360,465.5737985073889,464.04736499999996,-1,1.0032893916063697
10,12680385,525.4507590000001,523.706828,-1,1.0033299756786827
11,12686831,20197.41056266587,20113.364301999998,-1,1.0041786276728213
12,12696046,114.185506,113.61616099999999,-1,1.005011126894175
13,12701903,20063.782148954953,20000.0,1,1.0031891074477477
14,12703498,40029.17439234964,40000.0,1,1.000729359808741
15,12710912,2000.0000000000002,1999.649733,-1,1.0001751641771155
16,12715431,191.92090302935327,191.870097,-1,1.0002647938899687
17,12716031,183.86422864530792,183.99945,1,0.9992650991364807
18,12716196,60387.998386475076,60223.013948,-1,1.0027395579805676
19,12719657,1957.7562645270477,1948.963568,1,1.0045114730061737
20,12720431,1003.9956395607085,1000.0,1,1.0039956395607084
21,12720526,1377.237754671057,1371.8899999999999,1,1.0038980929018049
22,12720787,993.7629611715058,990.0,1,1.0038009708803088
23,12723929,1957.7562645270477,1948.3166489999999,-1,1.0048450109646667
24,12728278,2194.232564138582,2183.283011,-1,1.0050151780980363
25,12728281,216.75671161627943,215.873491,1,1.0040913806145815
26,12729685,4466.762536042599,4449.412009,1,1.003899510094256
27,12729760,4466.762536042599,4444.964113,-1,1.0049040717739084
28,12730116,20.06945739146375,19.987876999999997,1,1.0040814935705153
29,12730772,476.7292699568418,474.80103499999996,1,1.0040611431203847
30,12731436,9098.449184712588,9065.190070999999,1,1.00366888211412
31,12731843,9000.0,8958.173533,-1,1.004669084255392
32,12733240,458.9412426573712,456.63215499999995,-1,1.0050567784858937
33,12735184,65.23439564637411,64.904792,-1,1.0050782636569286
34,12737802,300.0,298.47977299999997,-1,1.005093232900576
35,12744528,141.46,140.737518,-1,1.005133542286855
36,12745979,400.00000000000006,397.85632899999996,-1,1.0053880530325812
37,12761024,830.7057663280052,823.817062,-1,1.0083619345189105
38,12761280,94.22559500000001,92.15002199999999,-1,1.0225238470371718
39,12777732,515.6869371439523,509.587492,1,1.0119693776627317
40,12782108,515.470174,508.869462,-1,1.012971326622858
41,12783215,87.20609225587589,85.3581,1,1.0216498757104
42,12783850,298.29997572829006,294.71029599999997,1,1.0121803675576033
43,12789063,561.0461617941746,558.348709,1,1.0048311256938443
44,12789131,507.89684554647266,505.717268,1,1.0043098736871146
45,12797701,40098.35253584273,40000.0,1,1.0024588133960681
46,12797773,12311.4666809597,12307.587168,1,1.0003152131207151
47,12798121,12313.161071999342,12296.977063,-1,1.0013160965427867
48,12803684,10007.282583772281,10003.190369,1,1.0004090909621157
49,12803726,12233.064610579475,12214.729195,-1,1.0015010906330188
50,12805761,419.95630000000006,419.11015199999997,-1,1.002018915542757
51,12806635,394.03833196257136,393.23133099999995,-1,1.0020522295629881
52,12808246,1.0,0.9989359999999999,1,1.0010651333018332
53,12814913,3200.0000000000005,3197.009021,1,1.0009355553832828
54,12814934,1419.9731233234313,1418.913767,1,1.000746596691123
55,12815009,4732.924252027213,4730.582827,1,1.0004949548740272
56,12815011,4669.534196155567,4669.018331,1,1.0001104868559074
57,12815134,90.01057205064049,90.018143,1,0.999915895295024
58,12815153,808.6789499717153,808.776679,1,0.9998791643839119
59,12815250,610.5383382524194,610.647555,1,0.9998211460167385
60,12816475,3539.015439832331,3540.24917,1,0.9996515131821445
61,12816868,6147.32567270937,6142.666412,-1,1.0007585078525945
62,12816972,10811.681791359279,10796.003725999999,-1,1.0014522100730219
63,12817365,6014.538248065452,6010.649351999999,1,1.0006470009873656
64,12818624,7744.125737717282,7730.836136999999,-1,1.0017190379516232
65,12818825,10080.246139255147,10055.624829999999,-1,1.0024485111240122
66,12819690,8394.140351961127,8381.441582,1,1.001515105705491
67,12820411,7322.712949714311,7304.646011999999,-1,1.00247334883643
68,12820533,8257.49625367362,8231.885108,-1,1.0031112127219475
69,12820587,7191.441484361902,7164.61776,-1,1.0037439156226393
70,12820670,9367.41037410334,9326.167512,-1,1.0044222733561532
71,12821100,8226.659254268045,8198.255272999999,1,1.0034646373310174
72,12821398,40059.496843764355,40000.0,1,1.001487421094109
73,12821542,7823.909421572605,7814.7633319999995,-1,1.0011703604042819
74,12821994,7055.127088944287,7042.5974049999995,-1,1.0017791282425703
75,12822053,7405.16298466693,7387.647363,-1,1.0023709336418323
76,12822149,9191.819638496707,9163.866259999999,-1,1.003050391363602
77,12822781,9814.299650460393,9776.866297999999,-1,1.0038287679630078
78,12823714,40063.45155756397,40000.0,1,1.0015862889390992
79,12824248,15005.030494883611,15015.016577999999,1,0.9993349269336792
80,12824292,9688.162948957599,9704.407975,1,0.9983260157565252
81,12824586,3826.2360443656007,3834.771997,1,0.9977740651488336
82,12825327,21273.081854706998,21342.463482,1,0.9967491275151288
83,12825491,9489.706901552683,9532.683235999999,1,0.9954916854590304
84,12828276,4827.952476751957,4845.905296,-1,0.9962952599872593
85,12828461,5053.8724848171005,5079.411697,1,0.9949720137475797
86,12828719,9319.19988425628,9353.910058,-1,0.9962892337505391
