,time,price,total_volume,market_cap
0,1595548800000.0,0.9985522954035756,397573043.28400624,1111666685.4305582
1,1595635200000.0,0.9988032815301532,362275810.9277988,1109062843.9961011
2,1595721600000.0,0.9981858395466434,457604910.5001808,1106484357.6707036
3,1595808000000.0,0.9982098169249052,487950518.0790261,1166058591.6456563
4,1595894400000.0,0.9970754736160404,548627343.2749697,1168067160.1914525
5,1595980800000.0,0.9968405626790642,457005008.7040159,1167917744.0705433
6,1596067200000.0,0.9990208089511712,428073701.2984253,1165546374.2830808
7,1596153600000.0,0.9976038323905456,438414588.8469227,1145335232.2984748
8,1596240000000.0,0.9991574945623206,417906726.3806712,1079713381.6320226
9,1596326400000.0,0.999579315507518,541497204.6987658,1087114065.7729323
10,1596412800000.0,0.9985508969971923,597271692.7860662,1097449796.9699798
11,1596499200000.0,0.9990557182949704,456673103.0788176,1084969022.8676772
12,1596585600000.0,0.9994825858105584,379651060.685718,1082620640.856064
13,1596672000000.0,1.0017719013817683,402087845.6570755,1080663525.1038458
14,1596758400000.0,0.999670527372976,358951487.41314274,1093371177.3314512
15,1596844800000.0,0.9992582650327314,421848474.8720786,1108253404.1808832
16,1596931200000.0,0.9994978704358852,375108948.26428616,1147426899.5944264
17,1597017600000.0,1.0003280476396583,355355743.1187208,1146087515.7526047
18,1597104000000.0,0.9997521779624462,520950327.5240727,1123043260.7744231
19,1597190400000.0,1.0005076549837333,467907270.4956814,1133850753.8488352
20,1597276800000.0,0.9988592229152012,456314637.178322,1161006416.978696
21,1597363200000.0,0.9990953778658324,539201203.9194254,1177494755.2865477
22,1597449600000.0,1.000326361819151,583098829.8342793,1205711262.4834569
23,1597536000000.0,0.9991392112569878,417132164.54983735,1201078658.2774494
24,1597622400000.0,1.0003673611753687,414636980.58114034,1202780392.5956528
25,1597708800000.0,0.9984933639128688,501462218.91044587,1218933979.1021347
26,1597795200000.0,0.9985454221651382,473374273.1901028,1246578444.2031455
27,1597881600000.0,1.0000318687377916,461354374.61180127,1276066353.7569458
28,1597968000000.0,1.000077376027016,453054402.9010838,1308639523.728695
29,1598054400000.0,0.9996347792401268,448270873.16397786,1318000930.5146458
30,1598140800000.0,0.999937157638972,387245756.9230208,1337354144.711165
31,1598227200000.0,0.998890936300689,328593794.643848,1355621233.419084
32,1598313600000.0,0.999771506023629,405766944.3090552,1362784249.768138
33,1598400000000.0,1.0009262664802252,388951164.6580581,1382944810.458472
34,1598486400000.0,0.9995162597448934,350236981.7106605,1400055980.5252311
35,1598572800000.0,1.000242372962949,387320060.1230866,1425062753.358413
36,1598659200000.0,1.0004783239457786,421696139.282248,1426970999.7092268
37,1598745600000.0,0.9986201796839732,343124716.67786485,1461801398.6087902
38,1598832000000.0,1.0020267925715236,395937094.0659456,1474977047.6541266
39,1598918400000.0,0.9992648611816596,423654990.6180111,1478076251.801613
40,1599004800000.0,0.996900434061218,559780272.5215607,1526243028.7079127
41,1599091200000.0,0.9986442994573006,687161717.7152021,1521629075.9415684
42,1599177600000.0,0.9988448898748372,693411272.6871446,1585737956.669032
43,1599264000000.0,1.00129394101989,684252706.4975796,1654937550.5016477
44,1599350400000.0,1.004681971685612,814475976.0160651,1697373902.1664443
45,1599436800000.0,0.9997996193437562,546556115.357817,1738405992.2687464
46,1599523200000.0,0.9995183539045774,557004819.6992531,1770732237.4398816
47,1599609600000.0,1.003155674209069,502079562.4300831,1807864449.2229712
48,1599696000000.0,1.000442927105615,603825001.3461837,1837881410.189869
49,1599782400000.0,1.001498216525474,585226498.0905051,1851977261.2539768
50,1599868800000.0,0.9998437067773658,564587068.5988395,1917867506.580737
51,1599955200000.0,1.0030096050982844,502526820.1976441,1960519721.8583548
52,1600041600000.0,1.0008255335377496,547654013.8366934,1998726032.545457
53,1600128000000.0,1.0012263334093514,702897607.1511428,2019992601.2929616
54,1600214400000.0,1.0007654886089237,663740043.5432696,2078905551.438918
55,1600300800000.0,0.997697624680008,578911064.2276399,2077721052.1765475
56,1600387200000.0,0.9993926692753122,631808319.0109358,2108597204.2582428
57,1600473600000.0,0.9994701726176156,540176769.0548201,2181447456.315563
58,1600560000000.0,1.000037545911746,691079131.3950043,2286773731.002424
59,1600646400000.0,1.0007064875520548,468955027.32877946,2348242845.909112
60,1600732800000.0,0.9983478030845184,594962624.9936932,2394979222.9095354
61,1600819200000.0,1.0022821944057951,429575553.2539131,2401695866.3566384
62,1600905600000.0,1.0001705882329055,635800336.4218718,2447227065.351407
63,1600992000000.0,1.0000999193602222,519701104.3190181,2508029494.182501
64,1601078400000.0,0.9996564671837846,475119862.0011389,2510442216.441124
65,1601164800000.0,0.9999029395452942,421298934.1116904,2551472974.149285
66,1601251200000.0,1.0009524419844216,398987274.2367063,2602973322.6174245
67,1601337600000.0,0.9971921940552578,379554866.3840065,2529880667.600386
68,1601424000000.0,0.9997320983911974,358093454.6357782,2537998073.96049
69,1601510400000.0,0.9996226932488178,365642441.5292608,2533716802.4001675
70,1601596800000.0,1.000676165822398,455268012.3809753,2538189510.251488
71,1601683200000.0,1.0012204934435518,447812401.95653135,2596747526.7960434
72,1601769600000.0,0.9994380420244252,324184525.25681823,2635139058.220377
73,1601856000000.0,1.000764967859936,340770435.047733,2647091929.9027305
74,1601942400000.0,1.0010523476793065,376523722.22199583,2669784990.243413
75,1602028800000.0,1.0016794295261515,462375518.1266882,2677147190.387536
76,1602115200000.0,1.0007538924575372,397866902.4177938,2713582993.421501
77,1602201600000.0,0.999879372881797,459710256.92190325,2813795125.0234222
