,time,price,total_volume,market_cap
0,1622160000000.0,0.0010477269387404,51981654.25143795,14891843.540708937
1,1622246400000.0,0.0010477269387404,51981654.25143795,14891843.540708937
2,1622332800000.0,0.0012466231403052,7182066.108667997,18344333.59021069
3,1622419200000.0,0.0015779704134219,7990687.234295686,22726044.355587576
4,1622505600000.0,0.0014210833531416,11118516.121208897,21373690.784853607
5,1622592000000.0,0.0011159183761435,4272354.336629959,16975029.70237782
6,1622678400000.0,0.0013747248448299,2729132.4674548274,20935526.227066822
7,1622764800000.0,0.0017194013783912,3787492.3914254936,26065080.805508383
8,1622851200000.0,0.0014207179360578,6088709.983955513,24366675.418952167
9,1622937600000.0,0.0011211586951803,4225293.103095775,19113753.557059336
10,1623024000000.0,0.0012014597779524,4242166.27095907,20418230.32518654
11,1623110400000.0,0.0009011778412111,3838755.9423588887,15442355.643902192
12,1623196800000.0,0.0009351955459839,2411216.7589905644,16004881.112112692
13,1623283200000.0,0.0009035666435118,996327.6186954838,15414170.276812227
14,1623369600000.0,0.000749599453768,1825693.7501551204,13273400.171475448
15,1623456000000.0,0.000686526250949,2194940.4026725395,11841049.252337206
16,1623542400000.0,0.0006946370904587,802747.1557834717,56225003.72295806
17,1623628800000.0,0.0007798943339497,847361.2382569561,62916994.05894801
18,1623715200000.0,0.0008086860334316,580208.3016884796,65776688.033177234
19,1623801600000.0,0.0007460099457587,421186.0457624505,60853664.90996727
20,1623888000000.0,0.0006902058057916,743813.2209976291,56126422.7356657
21,1623974400000.0,0.0006718838066097,487326.781980568,54724041.26650416
22,1624060800000.0,0.0006527147658131,593939.6861656115,53087437.55276383
23,1624147200000.0,0.000608510416331,192762.681496419,49638743.59532815
24,1624233600000.0,0.0005851113427578,541561.419772842,47630864.706243336
25,1624320000000.0,0.0004282131482961,377078.6655045696,35280852.669248566
26,1624406400000.0,0.0004182355659522,738982.1042685146,34344054.53044127
27,1624492800000.0,0.0004251844935245,135368.75130811505,8194651.896813863
28,1624579200000.0,0.0004246556246791,100703.22966160905,8272340.619489153
29,1624665600000.0,0.0003878983081583,205009.123333354,7515253.54780933
30,1624752000000.0,0.0003537943225835,323643.4113321913,6895297.067229534
31,1624838400000.0,0.0003864179891825,101865.00384915328,7546807.605744968
32,1624924800000.0,0.0004108074699184,74801.02286835252,8083541.391004745
33,1625011200000.0,0.0004312309935592,190999.53882185533,8442250.915776014
34,1625097600000.0,0.0004408872493763,112308.52408914348,8591774.602895526
35,1625184000000.0,0.0003874594206424,475497.5900632853,7398910.796811813
36,1625270400000.0,0.0004241460090155,401030.40282839385,7822235.896286331
37,1625356800000.0,0.0004278020510856,117908.05373790103,8681571.04850165
38,1625443200000.0,0.0004363605687479,118314.04534747465,8934117.70298529
39,1625529600000.0,0.00040055536733,119726.348929521,9236229.583072305
40,1625616000000.0,0.0004380416488629,256577.20205096444,9880003.641565178
41,1625702400000.0,0.0006211437388343,1725927.288028611,13690021.158268576
42,1625788800000.0,0.0005206422562047,465428.5656314556,11958029.484568128
43,1625875200000.0,0.0008089842150198,1668429.6781610206,18119339.038039725
44,1625961600000.0,0.000874805647386,2648133.0180708827,20207317.67476985
45,1626048000000.0,0.0008502203785141,534718.968930894,20554779.41853206
46,1626134400000.0,0.0005877817384991,1370263.5080767353,14165662.45088132
47,1626220800000.0,0.0005187290061991,325807.81834187737,12564698.595099363
48,1626307200000.0,0.0005321589979567,822510.4983502682,13324612.370445635
49,1626393600000.0,0.0004138756414789,857482.7662992155,10369872.263732228
50,1626480000000.0,0.0004171982013433,816824.128044056,10454857.713643476
51,1626566400000.0,0.0004214121456465,174076.3371538565,11176846.623902785
52,1626652800000.0,0.0004472822304819,222789.501700974,11840757.68706322
53,1626739200000.0,0.0003815872354408,190121.02743458367,10143793.271167625
54,1626825600000.0,0.0004175392488876,1074737.9439752798,11140084.838592624
55,1626912000000.0,0.0004663706170763,475315.9457844529,12344575.524442436
56,1626998400000.0,0.0004675660878767,351167.7682897466,12476647.463509329
57,1627084800000.0,0.0004639689617051,71503.22049615765,12345288.108784547
58,1627171200000.0,0.0004455864681178,406101.50358691067,11834507.401840797
59,1627257600000.0,0.0004352413425542,495572.4081315307,11617137.218805352
60,1627344000000.0,0.0004763788158684,638253.1577561882,12818201.698413435
61,1627430400000.0,0.0004672152864289,136650.77398476872,12539532.693316992
62,1627516800000.0,0.0004455677456054,687266.7794469371,12590936.465225449
63,1627603200000.0,0.0004534504114475,299323.913958622,12892171.977404729
64,1627689600000.0,0.0004281746658574,502155.5206645245,12113467.64548255
65,1627776000000.0,0.0003573621472466,1754508.290827173,10127036.909279495
66,1627862400000.0,0.000406223402877,822760.2784977761,11487527.396338925
67,1627948800000.0,0.0003990401084738,375124.1122791647,12547536.581266966
68,1628035200000.0,0.0003721259169333,504883.7059127193,11631409.794539643
69,1628121600000.0,0.0003211112502796,1255385.909449053,10050200.159952242
70,1628208000000.0,0.0003678712710189,449352.50029232656,11734997.658735797
71,1628294400000.0,0.0003930760349678,368283.2792098835,12301621.895383902
72,1628380800000.0,0.0004210986610468,354769.9541595164,13168941.913608838
73,1628467200000.0,0.0003751243720128,589062.5634953575,11850523.53754886
74,1628553600000.0,0.0003803542219321,1100927.180596965,11584350.943611858
75,1628640000000.0,0.0003962284088216,350439.7158441473,12433645.194002757
76,1628726400000.0,0.0004636366999147,1217786.3894605609,15239627.287978107
77,1628812800000.0,0.0004066437006055,1233055.7209579186,13393940.799169134
78,1628899200000.0,0.0004884916708894,705841.9476350729,16097800.399090976
