,name,pair,price,volume_dollar_24h,volume_coin_24h,depth_minus_2,depth_plus_2,other_info,Volume_perc,spread,Last_traded,Trust_score
130,OpenOcean,MIM/FUSDT,$1.01,$115,114.340 MIM,-,-,0.99988994 FUSDT,-,-,**1 day ago Updated 1 day ago,-
131,OpenOcean,MIM/GEIST,$0.927918,$72.39,78.013 MIM,-,-,3.04283603 GEIST,-,-,**3 days ago Updated 2 days ago,-
132,OpenOcean,TOMB/MIM,$0.974827,$71.71,31.232 TOMB,-,-,2.35526518 MIM,-,-,**10 hours ago Updated recently,-
133,OpenOcean,MIM/USDC,$0.988384,$51.40,52.000 MIM,-,-,0.99950469 USDC.E,-,-,**22 hours ago Updated 9 hours ago,-
134,OpenOcean,MIM/GOHM,$0.974827,$23.07,23.665 MIM,-,-,0.00006225 GOHM,-,-,**17 hours ago Updated recently,-
135,OpenOcean,SPELL/MIM,$0.981866,$20.46,1397.089 SPELL,-,-,0.01491266 MIM,-,-,**1 day ago Updated 20 hours ago,-
136,OpenOcean,WFTM/MIM,$0.981866,$14.73,6.449 WFTM,-,-,2.32666526 MIM,-,-,**2 days ago Updated 20 hours ago,-
137,Crodex,MIM/USDT 0x2bc472832eb20c65f82d6a869db845ab0c0099ba,*$0.973084,$153,156.020 MIM,$114,$114,0.972924463918481 0X66E428C3F67A68878562E79A0234C1F83C208770,-,0.67%,**2 days ago Updated recently,-
138,Sushiswap (Arbitrum One),MIM/USDC 0xfea7a6a0b346362bf88a9e4a88416b77a57d6c2a,*$1.00,$0.00,0.000 MIM,$49,$49,1.00551329617663 0XFF970A61A04B1CA14834A43F5DE4533EBDDB5CC8,-,0.77%,**4 days ago Updated recently,-
139,SpiritSwap,SPIRIT/MIM Live Chart 0x5cc61a78f164885776aa610fb0fe1257df78e59b,*$0.901172,$0.00,0.000 SPIRIT,$0,$0,0.177620629566275 0X82F0B8B456C1A451378467398982D4834B6829C1,-,126.3%,**1 day ago Updated recently,-
140,Trader Joe,MIM/GMA Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$0.997964,$0.00,0.000 MIM,$0,$0,0.738830896121468 0X19CFD1A6B1CD236B542B561ED26B32D697E5A77F,-,0.01%,**5 days ago Updated recently,-
141,Spookyswap,MIM/BAKER Live Chart 0x82f0b8b456c1a451378467398982d4834b6829c1,*$1.01,$0.00,0.000 MIM,$0,$0,433.747826459477 0XFE27133F2E8C8539363883D914BCCB4B21EBD28A,-,0.01%,**5 days ago Updated recently,-
142,Sushiswap (Arbitrum One),Z2O/MIM 0xdb96f8efd6865644993505318cc08ff9c42fb9ac,*$1.00,$0.00,0.000 Z2O,$0,$0,35.910233982883 0XFEA7A6A0B346362BF88A9E4A88416B77A57D6C2A,-,0.01%,**14 hours ago Updated recently,-
143,Trader Joe,MIM/LVT Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$0.997417,$0.00,0.000 MIM,$0,$0,342.684784182254 0XFF579D6259DEDCC80488C9B89D2820BCB5609160,-,0.01%,**2 days ago Updated recently,-
144,Sushiswap (Arbitrum One),MAGIC/MIM 0x2c852d3334188be136bfc540ef2bb8c37b590bad,*$1.00,$0.00,0.000 MAGIC,$0,$0,0.0121053306822205 0XFEA7A6A0B346362BF88A9E4A88416B77A57D6C2A,-,0.01%,**22 hours ago Updated recently,-
145,SpiritSwap,USDT/MIM Live Chart 0x049d68029688eabf473097a2fc38ef61633a3c7a,*$1.05,$0.00,0.000 USDT,$0,$0,0.959379441614388 0X82F0B8B456C1A451378467398982D4834B6829C1,-,0.01%,**4 days ago Updated recently,-
146,Trader Joe,MIM/SMRTR Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$1.00,$0.00,0.000 MIM,$0,$0,1373758.8980514 0X6D923F688C7FF287DC3A5943CAEEFC994F97B290,-,0.01%,**5 days ago Updated recently,-
147,Trader Joe,MIM/SMRT Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$0.997964,$0.00,0.000 MIM,$0,$0,636.628080293617 0XCC2F1D827B18321254223DF4E84DE399D9FF116C,-,0.01%,**22 hours ago Updated recently,-
148,Trader Joe,MIM/SLD Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$0.999357,$0.00,0.000 MIM,$0,$0,3.63308458625424 0XAD7476C49D3F82A144F4836AACB9B069C188B759,-,0.01%,**2 days ago Updated recently,-
149,Trader Joe,MIM/PARR Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$1.00,$0.00,0.000 MIM,$0,$0,129.38217567648 0XF10B5A72F0ABEB27A5DDBA950082E4EDFF4C825D,-,0.01%,**2 days ago Updated recently,-
150,Trader Joe,MIM/MM Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,*$0.997964,$0.00,0.000 MIM,$0,$0,0.0740820804483433 0X993163CAD35162FB579D7B64E6695CB076EF5064,-,0.01%,**7 days ago Updated recently,-
151,OpenOcean,MIM/HEC,*$1.04,"$12,279",11761.518 MIM,-,-,0.01468896 HEC,-,-,**3 days ago Updated 2 days ago,-
152,OpenOcean,MIM/TOMB,*$1.08,"$7,985",7386.920 MIM,-,-,0.46304301 TOMB,-,-,**1 day ago Updated 19 hours ago,-
153,OpenOcean,CRV/MIM,*$1.01,"$4,595",1000.000 CRV,-,-,4.55794158 MIM,-,-,**1 day ago Updated 5 hours ago,-
154,OpenOcean,MIM/TAROT,*$0.986218,$986,1000.000 MIM,-,-,1.84791939 TAROT,-,-,**1 day ago Updated 3 hours ago,-
155,OpenOcean,BEETS/MIM,*$0.974827,$305,580.835 BEETS,-,-,0.53891447 MIM,-,-,**9 hours ago Updated recently,-
156,OpenOcean,MIM/BRUSH,*$0.755799,$151,200.000 MIM,-,-,10.89096239 BRUSH,-,-,**5 days ago Updated 5 days ago,-
157,OpenOcean,BOO/MIM,*$0.974827,$79.51,3.782 BOO,-,-,21.56714276 MIM,-,-,**10 hours ago Updated recently,-
158,OpenOcean,ANKR/MIM,*$0.987345,$65.88,0.845 ANKR,-,-,78.9594454 MIM,-,-,**2 days ago Updated 1 day ago,-
