,time,price,total_volume,market_cap
0,1595548800000.0,1.0012185910770182,2555947.424989631,11773902.661871923
1,1595635200000.0,0.9972875034192248,3809609.087485588,11751551.964171784
2,1595721600000.0,0.9990040172768004,5332272.544096434,11807240.274568642
3,1595808000000.0,1.000622790420127,5309619.874107133,11804860.327791218
4,1595894400000.0,0.9997265823282032,5930437.553791588,10505989.256937128
5,1595980800000.0,0.9976338200003438,6070968.809659191,10567380.457044672
6,1596067200000.0,1.0028532886651034,4155755.42632426,10628686.719013091
7,1596153600000.0,1.0004905334725351,4397640.178395121,10870094.121756751
8,1596240000000.0,0.9949757694654832,5596608.297682821,10982905.084902056
9,1596326400000.0,0.9969251607384632,5840984.32890866,11003353.513242291
10,1596412800000.0,0.9969640498932488,5598528.747996901,10903746.187336871
11,1596499200000.0,0.9967504993302844,5689265.519535932,10863091.478618776
12,1596585600000.0,0.9979560057055116,4326524.316324656,10858337.297483638
13,1596672000000.0,1.0065327590120046,4367443.12058833,10970290.446287274
14,1596758400000.0,0.9995593009001634,5427931.034956464,10841728.833239283
15,1596844800000.0,0.99910293892071,3299623.623779074,11769645.385595003
16,1596931200000.0,0.9989578577627436,4520310.4526362745,11892811.83015783
17,1597017600000.0,1.002238005695411,4609965.224743166,12075356.632976849
18,1597104000000.0,1.0000508072894403,2370162.03182204,12221029.6977879
19,1597190400000.0,0.9874005448586674,2543832.627584557,12429064.55496846
20,1597276800000.0,0.9973197561174436,2002215.2476530704,12573671.4565025
21,1597363200000.0,1.017005012611874,1655548.0279799255,9662229.12682081
22,1597449600000.0,0.9891716138715432,1184292.1367074775,9504207.9563833
23,1597536000000.0,1.0040347860694938,1184008.3444253122,9584545.584051115
24,1597622400000.0,1.0010166458172407,1049506.4804571655,9640848.856782624
25,1597708800000.0,1.0033431098457457,1162539.2555044778,9567186.72318711
26,1597795200000.0,0.9808855898863248,1362769.2539721269,9705914.88766227
27,1597881600000.0,0.9886069974940708,1085686.1228585583,9655125.971285325
28,1597968000000.0,0.9878101132693808,1058142.361365017,9815241.55817144
29,1598054400000.0,0.9873405420142414,1027040.9415045351,9531625.045252807
30,1598140800000.0,1.0033867671784904,1044175.7407763088,9833530.44547886
31,1598227200000.0,0.9974541618681486,568244.2918124577,9773627.34534422
32,1598313600000.0,0.9965598567068634,698067.5348432501,9977328.71621651
33,1598400000000.0,0.9990722689801732,746375.047891768,9903120.231553704
34,1598486400000.0,0.9988158371115972,1039866.0852561898,10897291.549486706
35,1598572800000.0,0.9947960035406628,1031293.1731707266,10814773.830581589
36,1598659200000.0,1.0051972694321591,1863272.031471501,11049238.56313387
37,1598745600000.0,1.0031485772462934,1877794.9731863816,11089995.365649406
38,1598832000000.0,0.9980792336792268,819685.7067238025,11076468.870804112
39,1598918400000.0,1.0014942595538077,1403148.0333704252,11218458.400015904
40,1599004800000.0,0.9916135183430874,1558871.776162539,11343967.124652406
41,1599091200000.0,0.9951684523488128,1120200.5202821488,11348795.597159296
42,1599177600000.0,0.9948950338527812,893061.1618414645,11726342.402298456
43,1599264000000.0,1.0000865141667703,681947.6869550949,11646479.637196325
44,1599350400000.0,0.997934965863776,1776146.270417882,11601009.810641348
45,1599436800000.0,1.0021648408419237,1525892.4045681464,11634965.52444626
46,1599523200000.0,0.9999964858839412,944742.0840570187,11792978.26163434
47,1599609600000.0,0.999164391886432,1416437.1380621912,11523286.653679485
48,1599696000000.0,0.997865447408687,2003725.3259554124,11597941.113980748
49,1599782400000.0,0.9999873218401596,1483353.9608341705,12252319.30688388
50,1599868800000.0,1.0028304886485049,1243893.254111502,12413899.285713844
51,1599955200000.0,1.008744850013564,1286264.0974982523,12460868.096909637
52,1600041600000.0,0.9960299138576116,1279957.2309803902,12256274.168012056
53,1600128000000.0,1.0064807214978635,1288175.6953345186,12250862.448911998
54,1600214400000.0,0.999539181296911,1481056.0197952716,13455053.57195911
55,1600300800000.0,1.0048393840420726,1185126.821859378,13663717.99519516
56,1600387200000.0,1.000469948958662,1008341.5747450604,13687662.391399834
57,1600473600000.0,1.000426818815279,1038227.5724325512,13707646.58255187
58,1600560000000.0,0.9959974287148669,1181079.4176421475,13701152.60447538
59,1600646400000.0,0.9975715030964568,882039.527592075,13744214.657115
60,1600732800000.0,0.9824136893413176,1126621.5117745302,13745180.619638762
61,1600819200000.0,1.0022361200258432,971770.3380110604,14026779.606677148
62,1600905600000.0,0.9785032745501204,1170235.9281042926,13782667.06669338
63,1600992000000.0,0.9966334567439356,340595.8079544173,14138657.906712815
64,1601078400000.0,1.002984135056627,1082523.845648455,14221176.577528182
65,1601164800000.0,1.003049926292945,1050943.114396616,14269411.835834725
66,1601251200000.0,1.004638660237131,1208509.9289831754,14467968.151956508
67,1601337600000.0,0.9965865787524716,1356969.4433026514,14339965.635442724
68,1601424000000.0,0.9991659147183676,1337033.2181568565,14466873.600341272
69,1601510400000.0,0.9972873331063334,1374437.3388861462,14609254.402947456
70,1601596800000.0,0.9904905246331978,1364886.5349716912,14597390.710431486
71,1601683200000.0,0.999640722069591,1361641.643342143,10766205.30391248
72,1601769600000.0,0.9987228497306512,1165777.3497336928,10738583.331367096
73,1601856000000.0,0.9976433262790136,675744.3139630277,10829041.07434108
74,1601942400000.0,0.9993361010558084,721618.709355781,11166918.22441177
75,1602028800000.0,1.0024212771988268,1305145.2552432443,11712475.182531442
76,1602115200000.0,1.0049620184200083,1493827.112992534,11754367.3849778
77,1602201600000.0,1.0146544995917877,1411043.5408376283,14725830.870927826
78,1602288000000.0,1.008987454321142,1331043.9903987502,14868580.015167106
