,price,total_volume,market_cap,time
0,1.000650588888066,872764.2021398307,1437645.8836350194,1574121600000.0
1,0.9954110116644868,4841468.549062504,6945898.406513857,1574208000000.0
2,0.9915908692454622,1007819.5278591164,8989928.0137391,1574294400000.0
3,0.9911021228250846,3679539.548076001,12494872.076604951,1574380800000.0
4,0.9928500446120052,7201905.087479217,14391748.48660892,1574467200000.0
5,0.9821199130342256,2071655.1111188007,14697564.657745376,1574553600000.0
6,0.927535960047834,836399.0027745706,13934943.346314434,1574640000000.0
7,0.9888113589915056,3671209.942193888,16428649.463907205,1574726400000.0
8,0.9477039994203292,897874.3237497372,15787652.136815354,1574812800000.0
9,0.9797532303288976,2005150.804457474,15754951.873730391,1574899200000.0
10,0.9736842827784652,1759859.2756764512,17766421.873473242,1574985600000.0
11,0.9823796549629766,1436978.7356604622,19067967.22768785,1575072000000.0
12,0.947958034819108,651692.5755483737,19116829.497572385,1575158400000.0
13,0.9692867758753012,1149947.991171052,21270234.563937634,1575244800000.0
14,0.9931722472225812,818646.2523035532,38514746.91648468,1575331200000.0
15,0.976219666964612,1887706.862708578,44117485.146808125,1575417600000.0
16,0.978063576046384,2453374.971828814,44886458.61735102,1575504000000.0
17,0.976638858151098,1977848.03572788,44188406.22736558,1575590400000.0
18,0.972668864128318,1443318.7343332556,45391888.53901079,1575676800000.0
19,0.9687596124111794,1271166.6818732582,43444916.85219919,1575763200000.0
20,0.9757126757054998,2284894.459528293,44686580.56870687,1575849600000.0
21,0.974366814543994,1534918.4176092234,43778795.94907159,1575936000000.0
22,0.9734734853699696,2082162.2457790363,43609646.342096776,1576022400000.0
23,1.0000402732386735,2090124.0980966105,45574452.93901587,1576108800000.0
24,0.9990270572914368,1867357.013060077,46033530.19020713,1576195200000.0
25,1.004506003321739,1798362.05988889,46718171.34740256,1576281600000.0
26,0.9990879396642474,975343.3900797946,46326305.22269202,1576368000000.0
27,0.9953315678455208,957532.317483498,46347768.93292016,1576454400000.0
28,1.0041174272867668,3879180.875625977,49236345.7379027,1576540800000.0
29,1.0035311834668823,7233458.315494598,48052481.54799645,1576627200000.0
30,1.001236941108159,6198504.735420286,47881989.88029857,1576713600000.0
31,1.0001195264392,3429995.3243701984,49258774.42647197,1576800000000.0
32,0.9972592645057584,2388440.3057888565,43779851.32934509,1576886400000.0
33,0.9657993233443856,1500841.0057786622,42462708.54012666,1576972800000.0
34,0.9830352782570828,1937175.8553383648,43319642.21257976,1577059200000.0
35,0.983442785117267,3499497.733099163,43197962.1501458,1577145600000.0
36,0.9790040930548112,2248938.1501088548,42876969.875245765,1577232000000.0
37,0.972730612932524,1738527.803403037,42013812.036031455,1577318400000.0
38,0.9742495283691848,1826210.434934344,41216496.643668175,1577404800000.0
39,0.9744770865407592,1753946.8315831083,41140003.28390296,1577491200000.0
40,0.9720845376983496,1733528.0714703307,41312458.13496491,1577577600000.0
41,0.9845264335517296,3835350.372952979,42217539.83942108,1577664000000.0
42,0.9818932700387748,2907183.7825299567,41570453.64757815,1577750400000.0
43,0.9818469907264622,2779679.3967009764,41778474.810325526,1577836800000.0
44,0.9726058008924008,1566522.3145138372,41083185.19094878,1577923200000.0
45,0.978826383556656,2235376.3582284222,41278022.17395978,1578009600000.0
46,0.98787714642571,3414141.9805833204,42581602.14223324,1578096000000.0
47,0.970133742675622,1521153.0986598108,41388590.59059867,1578182400000.0
48,0.9811010361823272,2919902.3818726283,41935818.1392408,1578268800000.0
49,0.99868002674042,5109722.516281013,44894739.59065128,1578355200000.0
50,0.9956359758022524,6108257.628055667,47168618.15644877,1578441600000.0
51,1.0004055374300225,7981251.222468805,46123776.55402997,1578528000000.0
52,1.0027315646284447,3935702.4269713294,46010555.08001339,1578614400000.0
53,1.0066311782430477,2988226.143551149,83329194.30009556,1578700800000.0
54,0.9946082949190382,1966588.731925116,83101741.42074405,1578787200000.0
55,1.0011028036381404,2419176.745327148,84458742.08336683,1578873600000.0
56,0.9930822014257256,2738414.547760363,85495814.02138372,1578960000000.0
57,1.003530723355194,9898331.849913538,87284468.50076805,1579046400000.0
58,0.9971617186713292,5644528.670003947,87663675.27361801,1579132800000.0
59,0.9961147216136392,4790908.026606358,89222338.63485347,1579219200000.0
60,0.9926702410381792,7439069.8992333,94452683.0623559,1579305600000.0
61,0.9908555390638012,6133686.181965463,95750977.341536,1579392000000.0
62,0.996875695797804,5800830.511168848,96638682.17044409,1579478400000.0
63,0.9933925837295968,4114745.5660271687,97204215.87515493,1579564800000.0
64,0.9936940350326487,3430258.296101304,98675239.9516217,1579651200000.0
65,0.9944358105287344,3209771.9536121367,99973323.17849432,1579737600000.0
66,1.0015289410530894,3727158.688087021,100642563.13049892,1579824000000.0
67,0.9970788904190244,4047289.991191796,101217363.230205,1579910400000.0
68,0.9969064316551488,1654865.9000527794,101589117.75428416,1579996800000.0
69,1.003130551775534,2110100.050776964,102572368.2832092,1580083200000.0
70,0.9985682257719072,5912156.947658173,103533895.38618834,1580169600000.0
71,1.006833924532294,5889566.450756087,105889812.14565244,1580256000000.0
72,0.9950014015342008,4343116.008701769,105739484.0090496,1580342400000.0
73,0.9964017842515548,6091137.976753929,107294604.3455077,1580428800000.0
74,0.9957237797993544,4083281.710022927,107092084.61306506,1580515200000.0
75,0.9952900349470036,2919913.910995398,107414287.24037214,1580601600000.0
76,0.9974633291392077,6492993.8202920975,106714941.97582336,1580688000000.0
77,0.9973003461706084,5686633.825617219,107667359.5035272,1580774400000.0
78,1.002104738554442,4712431.980409517,110469099.30394427,1580860800000.0
