,time,price,total_volume,market_cap
992,1452988800000.0,386.3560000000001,1476285800.5507712,5830189311.200002
993,1453075200000.0,385.1320000000001,1357696058.8206067,5814809590.700002
994,1453161600000.0,379.015,1157108220.8545206,5723770825.5
995,1453248000000.0,418.848,1674254290.1511552,6326929406.4
996,1453334400000.0,407.8150000000002,1484721462.288631,6161646248.875003
997,1453420800000.0,377.2100000000001,1626853795.9614303,5700897323.250002
998,1453507200000.0,389.6409999999999,755378842.1307422,5889248376.549998
999,1453593600000.0,403.0559999999999,1458284443.5169122,6094932220.799998
1000,1453680000000.0,392.3260000000001,1332190240.7947457,5934195570.050001
1001,1453766400000.0,392.4559999999998,1231352757.4795897,5937437389.799997
1002,1453852800000.0,394.491,1023661369.6216024,5968224752.175
1003,1453939200000.0,379.5519999999999,1144817695.5234942,5745544310.399999
1004,1454025600000.0,378.912,1378222858.2537942,5737400248.8
1005,1454112000000.0,376.921,926767404.3542868,5709052772.55
1006,1454198400000.0,364.352,795209372.712972,5520342696.0
1007,1454284800000.0,371.041,1028395380.8818554,5623172735.125
1008,1454371200000.0,372.8679999999999,669492000.7292296,5652529732.799998
1009,1454457600000.0,368.124,701511710.5572596,5582278351.5
1010,1454544000000.0,388.3759999999999,1068491901.0833611,5891023099.599998
1011,1454630400000.0,385.7330000000001,1099201402.3270342,5852736452.325002
1012,1454716800000.0,374.9049999999999,979578026.003806,5690251854.249998
1013,1454803200000.0,375.5170000000002,551083226.5427567,5701239912.875003
1014,1454889600000.0,371.1359999999999,542257471.058673,5636117687.999998
1015,1454976000000.0,373.909,465479007.436967,5679902055.4
1016,1455062400000.0,379.829,814090887.7056519,5771368714.85
1017,1455148800000.0,377.058,503979335.12027735,5730998806.5
1018,1455235200000.0,382.72,658159244.500266,5818750496.0
1019,1455321600000.0,390.4240000000001,740171994.7251545,5937412022.400002
1020,1455408000000.0,404.1440000000001,1319015072.5724676,6147686974.000002
1021,1455494400000.0,399.379,1388195099.8471158,6076721221.075
1022,1455580800000.0,407.0129999999998,1111797900.4521844,6194279970.374997
1023,1455667200000.0,416.8499999999999,1296165324.1759655,6345582494.999998
1024,1455753600000.0,421.4220000000001,1445224878.5173087,6417045471.750002
1025,1455840000000.0,419.377,601898504.2767404,6387331882.925
1026,1455926400000.0,441.1199999999998,1385245439.8751278,6720209555.999997
1027,1456012800000.0,438.6499999999999,1506908216.5909653,6684028071.249998
1028,1456099200000.0,437.8029999999999,1166708341.42039,6672478907.474998
1029,1456185600000.0,420.3020000000001,1465084346.963302,6407178255.950002
1030,1456272000000.0,423.1870000000001,1457408415.8942337,6452416826.400002
1031,1456358400000.0,423.142,1416389937.2195773,6453391534.75
1032,1456444800000.0,427.029,58325277.64245085,6514156583.4
1033,1456531200000.0,432.1390000000001,595150632.3741599,6593663289.800001
1034,1456617600000.0,432.7970000000001,546124185.8661692,6605163875.275002
1035,1456704000000.0,436.919,1847224330.8996885,6669535766.075
1036,1456790400000.0,431.371,2515777833.930286,6586086153.8
1037,1456876800000.0,424.485,2052408228.789524,6482862265.5
1038,1456963200000.0,420.1709999999999,2737847218.462073,6418406144.699999
1039,1457049600000.0,409.408,2408874554.407219,6255529065.6
1040,1457136000000.0,397.2410000000001,2766255766.6448894,6071173237.350001
1041,1457222400000.0,404.912,2521764887.178534,6189869498.4
1042,1457308800000.0,413.74,2361080396.000645,6326260439.5
1043,1457395200000.0,411.8770000000001,1845168034.2779825,6299329213.400002
1044,1457481600000.0,412.3190000000001,1705210742.922722,6307800373.650002
1045,1457568000000.0,416.2920000000001,2166212980.4221253,6370256293.500002
1046,1457654400000.0,419.299,2440375016.827296,6417916283.7
1047,1457740800000.0,410.8010000000001,2292018374.44364,6289332499.925001
1048,1457827200000.0,412.4949999999999,1845648236.2910595,6316587496.874998
1049,1457913600000.0,414.585,1803876534.2741227,6350177715.75
1050,1458000000000.0,415.6410000000001,2111129338.3052552,6367983805.875002
1051,1458086400000.0,416.5440000000001,1895643174.07286,6383495145.600001
1052,1458172800000.0,418.4000000000001,1743173852.731032,6413413020.000002
1053,1458259200000.0,408.28,2438769296.167774,6259667304.0
1054,1458345600000.0,406.7389999999999,1764836350.22334,6237403575.849998
1055,1458432000000.0,411.8820000000001,1440329762.2947476,6317806512.750002
1056,1458518400000.0,411.091,2250456009.66558,6307102003.85
1057,1458604800000.0,416.36,2041042449.9845448,6389481378.0
1058,1458691200000.0,418.076,1985257305.3708296,6417382984.8
1059,1458777600000.0,414.8829999999999,2021330255.0508976,6369854280.124998
1060,1458864000000.0,415.743,1933831281.7491696,6384534070.275
1061,1458950400000.0,416.7149999999999,1604214632.4064963,6401148697.124998
1062,1459036800000.0,425.349,2326287423.8189363,6535264076.775
1063,1459123200000.0,422.756,2155194925.8853908,6497115017.1
1064,1459209600000.0,415.5470000000001,2681866388.8263345,6388027423.525002
1065,1459296000000.0,412.597,2387281658.2325406,6344204936.175
1066,1459382400000.0,415.366,1432304098.828801,6388090244.55
1067,1459468800000.0,416.754,447338222.9775492,6410999713.95
1068,1459555200000.0,419.6700000000001,633704453.9853791,6457346880.750002
1069,1459641600000.0,418.1850000000001,429476810.3973782,6435354873.375002
1070,1459728000000.0,419.437,525611739.8271151,6456959980.95
1071,1459814400000.0,422.651,541558101.3329905,6508054061.925
1072,1459900800000.0,421.656,527136257.7088257,6494387877.599999
1073,1459987200000.0,421.076,593936633.4999853,6486917898.7
1074,1460073600000.0,418.4740000000001,727873660.8959363,6448380946.350001
1075,1460160000000.0,416.145,791269617.2927799,6413012926.125
1076,1460246400000.0,421.133,484836963.8386498,6492839084.15
1077,1460332800000.0,422.5840000000001,710470936.9100323,6516847462.200002
1078,1460419200000.0,426.181,1182165394.173999,6573884543.1
1079,1460505600000.0,424.26900000000006,785800595.966394,6546120648.075002
1080,1460592000000.0,424.932,616490737.7752148,6558071165.7
1081,1460678400000.0,429.966,841700526.6271452,6637309897.95
1082,1460764800000.0,430.941,743886906.6097462,6653836775.25
1083,1460851200000.0,428.027,528907575.42346233,6610502491.375
1084,1460937600000.0,428.5059999999998,549297574.322777,6619389285.599997
1085,1461024000000.0,436.37,674540887.3072404,6742483781.0
1086,1461110400000.0,441.916,1101674781.4135215,6830010642.2
1087,1461196800000.0,451.0830000000002,1340299673.3017693,6973348482.375003
1088,1461283200000.0,447.488,1244399315.4240894,6919439820.8
1089,1461369600000.0,451.818,835075482.691219,6987975324.3
1090,1461456000000.0,459.9229999999999,1609960186.8384228,7114859335.024999
1091,1461542400000.0,460.4659999999999,1607304204.3566065,7123685299.599998
1092,1461628800000.0,467.8559999999999,1278134938.8701427,7240796776.799998
1093,1461715200000.0,444.789,1344104894.4750998,6885300360.825
1094,1461801600000.0,449.3809999999999,1497339511.3554573,6957889602.774999
1095,1461888000000.0,456.5660000000001,683291625.3521613,7070940369.350001
1096,1461974400000.0,447.9029999999999,577836728.8566968,6938342199.674998
1097,1462060800000.0,452.592,394606185.83971006,7012822521.599999
1098,1462147200000.0,444.488,679795242.3567172,6888908380.2
1099,1462233600000.0,450.3,460396814.0834587,6980741977.5
1100,1462320000000.0,447.119,430680620.3166514,6933273129.45
1101,1462406400000.0,448.9219999999999,547921245.8399001,6962982234.899999
1102,1462492800000.0,461.6200000000001,892002595.4498556,7161803490.000002
1103,1462579200000.0,459.2479999999998,418352341.3398776,7126736757.199997
1104,1462665600000.0,459.283,640880145.1265181,7129139992.975
1105,1462752000000.0,461.74700000000007,892533004.1713158,7169395601.225
1106,1462838400000.0,450.3259999999999,1121093826.6093578,6993799201.149999
1107,1462924800000.0,452.179,672525013.6120929,7024148586.0
1108,1463011200000.0,454.7310000000001,697010377.0856366,7065405649.050001
1109,1463097600000.0,456.0070000000001,489812072.3694577,7086941589.100001
1110,1463184000000.0,455.5030000000001,540603400.5013363,7080714421.975001
1111,1463270400000.0,457.837,514727783.64522,7118621364.875
1112,1463356800000.0,454.893,649625052.453777,7074393585.075
1113,1463443200000.0,452.422,456208618.5701116,7037627799.900001
1114,1463529600000.0,453.3710000000001,382814029.8745019,7054124066.025002
1115,1463616000000.0,440.5389999999998,626926267.8026723,6855767039.274998
1116,1463702400000.0,441.888,644225134.6638312,6878428608.0
1117,1463788800000.0,443.1469999999999,382669886.1311476,6899543980.474998
1118,1463875200000.0,438.6750000000001,369986913.3520583,6831902516.250002
1119,1463961600000.0,443.175,378979422.05785537,6903990658.125001
1120,1464048000000.0,445.769,423917608.1376983,6945849971.525
1121,1464134400000.0,449.0549999999999,593928754.5793718,6998825287.124998
1122,1464220800000.0,453.732,772901620.2200116,7073262177.9
1123,1464307200000.0,473.8640000000001,1609915743.8194053,7388724420.000002
1124,1464393600000.0,528.545,2308852891.9405656,8243121751.874998
1125,1464480000000.0,524.624,2265760454.971116,8182390025.2
1126,1464566400000.0,534.2240000000002,1027238918.1573266,8335577205.600003
1127,1464652800000.0,531.4070000000002,976889071.4702432,8293336919.625002
1128,1464739200000.0,539.1679999999999,864207752.912364,8416291167.199999
1129,1464825600000.0,538.832,655601895.7428466,8413013019.599999
1130,1464912000000.0,570.4449999999999,947549857.3776044,8908568259.374998
1131,1464998400000.0,573.5259999999998,1014758653.6732844,8958404429.249998
1132,1465084800000.0,574.4756747207706,980649173.436705,8975651027.512924
1133,1465171200000.0,585.563,850291006.7026013,9151383511.05
1134,1465257600000.0,577.9106942699359,995595869.9524368,9033842181.758211
1135,1465344000000.0,583.1389999999999,625927307.6959897,9117713569.924995
1136,1465430400000.0,577.607,570784842.2229652,9033585757.725
1137,1465516800000.0,579.2276478801407,574507838.2591244,9060944979.936224
1138,1465603200000.0,597.746561993518,567638086.2563363,9352955399.176626
1139,1465689600000.0,671.7122784950529,2134843166.853439,10512767357.042526
1140,1465776000000.0,704.2918521711082,1929369214.3262644,11025583301.960873
1141,1465862400000.0,685.932131564762,1295617503.876316,10740428205.86078
1142,1465948800000.0,693.2269999999999,1111645975.7525933,10857217289.95
1143,1466035200000.0,765.4629999999999,2295279422.8526845,11991494582.524998
1144,1466121600000.0,749.4189999999999,2089119189.06224,11742908607.649998
1145,1466208000000.0,756.7996012580627,1639977543.4823854,11861509350.417933
1146,1466294400000.0,764.0459999999999,1440147059.442583,11978503075.35
1147,1466380800000.0,734.1617358035669,1274257070.726084,11512940800.437586
1148,1466467200000.0,664.9965293554344,2616450204.6981983,10430819686.1179
1149,1466553600000.0,591.895,2116429838.3177705,9286122275.999998
1150,1466640000000.0,623.2062563646158,2950728708.757519,9779539536.75046
1151,1466726400000.0,661.4166051593036,2819565196.653483,10381264326.27785
1152,1466812800000.0,666.0566978558096,2165368588.879378,10456807082.239622
1153,1466899200000.0,629.3059999999999,1973414929.567675,9882102246.55
1154,1466985600000.0,648.2999999999998,1893446210.5502863,10182702232.499996
1155,1467072000000.0,646.8429999999997,1557753994.6406407,10162291635.799995
1156,1467158400000.0,637.437,1478192305.741556,10016780633.55
1157,1467244800000.0,671.6159999999998,1557452114.6606188,10556309174.399996
1158,1467331200000.0,677.7099999999999,1520646626.315115,10654888849.0
1159,1467417600000.0,693.0470000000001,1369565986.2165418,10897332418.600002
1160,1467504000000.0,664.7451003433932,1980745475.193143,10456041581.34137
1161,1467590400000.0,678.7005716794641,1647219062.906496,10678148801.861635
1162,1467676800000.0,667.5305180233454,1363651288.9860191,10504760879.50388
1163,1467763200000.0,675.9190000000001,1193299157.941928,10639167835.700005
1164,1467849600000.0,638.6200000000001,2122556832.5577588,10054273625.000002
1165,1467936000000.0,665.744506272113,1407424927.2334237,10483645176.39353
1166,1468022400000.0,653.8705124993986,1734638027.0220506,10298813661.942278
1167,1468108800000.0,650.3210000000003,1043956725.0369836,10244077501.140003
1168,1468195200000.0,649.07,969355597.1380028,10225531860.96
1169,1468281600000.0,670.9480000000001,1085661832.4024758,10571303711.856
1170,1468368000000.0,658.1500000000001,930971250.7396076,10370703851.400002
1171,1468454400000.0,659.5760000000002,907126119.1357732,10394281928.736004
1172,1468540800000.0,665.6869915031888,915530669.947748,10491679653.244476
1173,1468627200000.0,663.5010000000002,583921219.9714433,10458476976.564005
1174,1468713600000.0,678.3905582459545,878701509.437196,10694420116.412523
1175,1468800000000.0,674.7874378266207,951136967.9705702,10638777020.11729
1176,1468886400000.0,674.5573889807015,721148317.6858412,10636194258.165005
1177,1468972800000.0,670.8934740599931,718486386.0759034,10579131342.279297
1178,1469059200000.0,665.3643845142738,651736587.5105526,10493517598.78291
